gene,sample,expression,time
Fn3k,GSM2545336,906,8
Cnp,GSM2545336,13472,8
Uros,GSM2545336,597,8
Eml1,GSM2545336,2567,8
Lgals3,GSM2545336,168,8
Gjb1,GSM2545336,545,8
Dynll1,GSM2545336,2138,8
Cyp2j12,GSM2545336,98,8
Crip3,GSM2545336,10,8
Sbk1,GSM2545336,20241,8
Camkk2,GSM2545336,8561,8
Setd7,GSM2545336,12395,8
Btf3l4,GSM2545336,2694,8
Acbd4,GSM2545336,1859,8
Gm16835,GSM2545336,356,8
Gpr37,GSM2545336,1924,8
Prr5l,GSM2545336,546,8
Slain1,GSM2545336,1858,8
Calr,GSM2545336,8891,8
Bst1,GSM2545336,54,8
Fmnl3,GSM2545336,557,8
Gpr89,GSM2545336,552,8
Zranb1,GSM2545336,8837,8
Col27a1,GSM2545336,456,8
Emc8,GSM2545336,4140,8
Ormdl3,GSM2545336,4058,8
Capg,GSM2545336,198,8
Zbtb21,GSM2545336,815,8
Sord,GSM2545336,1153,8
Tsc22d1,GSM2545336,10012,8
Gpld1,GSM2545336,3774,8
Cdh4,GSM2545336,684,8
Hkdc1,GSM2545336,163,8
Ggact,GSM2545336,1986,8
Zfp493,GSM2545336,124,8
Mkks,GSM2545336,1213,8
Gm15423,GSM2545336,146,8
Npas2,GSM2545336,344,8
Plin4,GSM2545336,2284,8
Rragc,GSM2545336,3899,8
Nsun3,GSM2545336,793,8
Hgsnat,GSM2545336,3735,8
Acr,GSM2545336,165,8
Ccdc167,GSM2545336,1140,8
Thap1,GSM2545336,393,8
Egfl8,GSM2545336,85,8
Vps33a,GSM2545336,5585,8
Igbp1,GSM2545336,1835,8
Tbx6,GSM2545336,36,8
Dcst2,GSM2545336,56,8
Rbm28,GSM2545336,1640,8
Pms1,GSM2545336,558,8
Rtcb,GSM2545336,5106,8
Smad9,GSM2545336,2384,8
Ubxn2b,GSM2545336,656,8
Rnf170,GSM2545336,2238,8
Pithd1,GSM2545336,3277,8
Steap3,GSM2545336,53,8
Tomm20,GSM2545336,12447,8
Klf15,GSM2545336,2619,8
Amz2,GSM2545336,1585,8
Folh1,GSM2545336,956,8
Ubfd1,GSM2545336,2688,8
Gpx3,GSM2545336,1045,8
C4b,GSM2545336,1162,8
Mdfi,GSM2545336,345,8
